Action,Notes,title,key,Org,count,Matches,Unmatched,Names,,,
Exclude,,,,OCHA Lebanon,,0,b8894fd4-a1ae-4104-a32c-d4cc3ca2f39b|dd9deb44-8109-451a-9dbc-70ce7a08a0a5,Lebanon Primary Health Care Centers (PHCs),Lebanon Secondary Health Care centers,,
Exclude,,,,OCHA Lebanon,,0,baf1d6e4-d97c-46ed-bac0-dcfc163e22c4,Lebanon Social Development Centers (SDCs),,,
Approved,,,,OCHA Haiti,,200,3b39f85b-12cf-49cd-aa00-ee3ac04ce61f,Haiti - Network Road,,,
Approved,,,,OCHA ROSA (Closed),,77,0d8e197b-e8bc-4cd5-aa3d-741cec540698,Syrian Arab Republic populated places,,,
Approved,,,,OCHA Latin America and the Caribbean (ROLAC),,77,72726357-5090-4af3-b878-b8e1c0d4f713,Mexican populated places,,,
Approved,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,77,8524f492-87f2-4990-a9a2-c49e7f00f737,Province and Prefecture capitals of China,,,
Approved,,,,OCHA West and Central Africa (ROWCA),,205,93f7c93a-338c-4d82-9859-e243bde6bd9d,Cabo Verde - Water Courses,,,
Approved,,,,OCHA West and Central Africa (ROWCA),,200,e0d9a40c-7204-4099-80d9-f34d62e888ca|435b4c71-f4c1-4ade-820c-ca3b281f676a,Cabo Verde Roads,Mauritania - Roads,,
Approved,,,,OCHA Liberia,,77,73d850f6-fa4b-4166-a20d-559256149a30,Liberia - Settlements,,,
Approved,,,,OCHA Regional Office for Asia and the Pacific (ROAP),,200,056f41e2-a681-4c71-bac2-7d21d4c74365,Maldives - Airports,,,
Approved,,,,OCHA Central African Republic,,205,631f947c-d635-4df2-8c1e-20c6caae2bf6,Central African Republic cours d'eau,,,
Exclude,,,,OCHA Chad,,0,799f2c09-024c-41b6-b5c7-7c7ceff59c35,Chad - GIS geodatabase,,,
Approved,,,,OCHA Lebanon,,77,7aa772c3-63c1-4044-9337-28db1f82c011,Lebanon villages/settlements,,,
Exclude,,,,OCHA Lebanon,,0,f969c51c-11d1-4510-9aa8-2b5cb2d08960|df560dce-8f46-49a0-a7f9-172443b3dc12,Lebanon - Syrian Refugees Collective Centers in Lebanon,Palestinian Gatherings,,
Exclude,,,,OCHA Lebanon,,0,06644b13-4670-4ec3-a376-c5a52218c2a6,Palestinian Camp in Lebanon,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,200,cc42ce65-8947-430f-96b9-6db9778b502a|95a73f08-34b4-40fd-b0af-0675a07a4423,Western Sahara - Transportation Network,Morocco - Transportation Network,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,200,73cd4d78-bc1e-4a8f-b9ff-32a3fe884b3b|7926b801-09e6-41c9-9aa8-0f775a1a961c|11309139-2eee-47da-a337-6771f65dbd30|191892b0-d982-448f-a925-45f22d30057d,United Arab Emirates - Transportation Network,Tunisia - Transportation Network,Saudi Arabia - Transportation Network,Algeria - Transportation Network
Approved,,,,OCHA Middle East and North Africa (ROMENA),,200,2b4aaeeb-a5b9-42b5-ae5b-fdaabd0c3854|bd70af2c-bd01-40a8-bf8d-5940cb65c053,Qatar - Transportation Network,Bahrain - Transportation Network,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,200,229b38f5-75ad-42ff-9e87-8935312949a6,Oman - Transportation Network,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,205,9e0caa4b-f8c5-4d4d-aea1-9a92a51f067a,Kuwait - River Network,,,
Approved,,,,OCHA Middle East and North Africa (ROMENA),,200,88f94606-1bd1-4e4c-b515-2fd531a51618,Kuwait - Transportation Network,,,
Approved,,,,OCHA Democratic Republic of the Congo (DRC),,200,fd300936-a7f9-43f6-9664-63142a4dff00,DR Congo - Transportation Network,,,
Approved,,,,OCHA Democratic Republic of the Congo (DRC),,77,609a58ef-f2fa-44e2-87f0-6e46dac4d45a,DR Congo - Settlements,,,
Approved,,,,OCHA Nigeria,,200,dc61c3cc-cc78-4421-8d70-92efebe45cd4,Nigeria Railways (data from OSM),,,
Approved,,,,OCHA Nigeria,,205,bfc37dc6-42da-4334-9d4b-bd37d3916306,Nigeria waterways,,,
Approved,,,,OCHA Nigeria,,200,516d8ed4-4f48-48bf-935c-e91cf6f00e3a,Nigeria Primary and Secondary Roads (data from OSM),,,
Approved,,,,British Red Cross Maps Team,,200,d7f6e172-4433-4eb9-a96f-0524917eb11d,Philippines - Elevation Model,,,
Approved,,,,OCHA Ethiopia,,200,4f2e1092-222a-47ea-aed9-33f27579e090,Ethiopia - Roads Network,,,
Approved,,,,OCHA Iraq,,77,0c92944d-a6dd-4d08-a101-74ba1c2e3429,"Iraq - Settlements (villages, towns, cities)",,,
Approved,,,,OCHA Philippines,,205,b4f3d978-000b-4a46-94ca-253ab0ce6cf4,Philippines - Water Courses(Rivers),,,
Approved,,,,OCHA West and Central Africa (ROWCA),,200,71ea2ad4-e45b-49b6-810e-234af9cfb07e,Mauritania - Railways,,,
Approved,,,,OCHA Nepal (closed),,77,85c83e1c-80d1-4136-b9cc-a90b853e7d6c,,Settlements in Nepal,,
Approved,,,,OCHA Nepal (closed),,205,248e54c6-f113-4bd3-8083-a5d4a9eb5f79,Nepal Watercourses - Rivers,,,
Approved,,,,OCHA Nepal (closed),,200,81bc529b-b229-465a-bd6f-bb215a9f63d0,Nepal Aerodromes,,,
Approved,,,,OCHA Nepal (closed),,200,675d4343-b21a-4033-89b1-9ba386429c03,Nepal road network,,,
Approved,,,,OCHA Nigeria,,146,f01585b0-fc5c-47a1-b94c-e4403dd430bd,Nigeria - Elevation Model,,,
Approved,,,,OCHA Nigeria,,205,8e5fe191-8328-45b6-99b8-99652c53159c,Nigeria - Water Courses,,,
Approved,,,,OCHA Nigeria,,77,608e022a-7bdb-4668-b6a0-0e7f668dfb40,Nigeria - Settlements,,,
Approved,,,,OCHA Somalia,,77,a9842100-0f5a-498b-956e-b0990e9e86a5,Somalia - Settlements,,,
