clean,
OpenNepal,
cf3741b5-3022-4ff9-8e41-a7db40f0df93,Nepal - Total Number of Registered Vehicle (2013)
ddb80900-a02a-4608-918f-d88a97a48f70,Nepal - New and supplemental projects of World Bank in Nepal
e8382e01-9384-4d7e-b5f7-c49e6510f759,"Nepal - Number of Vehicle Registration in Bagmati Zone, 2000-2014"
755002db-18ce-4b2c-b205-38838e2ed8c5,"Nepal - Number of hospitals in Nepal,2013"
7a3c5d05-64d3-4531-bf9c-32295d0ee037,Nepal - Development program and budget allocation in the district FY 207071
06bf5fb5-af34-4823-8df0-fbff7376aedd,Nepal - Causes of Road Accidents (2013)
90ed4465-20a5-447e-a578-ce1e0fb3e91c,Nepal - District wise Human Development Index (2011)
ec6c2f85-226b-42ce-82c9-714eb769fe15,Nepal - Road Traffic Accident Records (2013)
a0d7d581-29f1-413d-9350-dfd288c857b0,"Nepal - Number of hospital bed capacity in development region,2013"
9024f22e-e560-4db8-9b75-48a3d1d64c57,"Nepal - Total Strategic Road Network (SRN) Length,Influenced Population of District in Nepal, 2011"
e5064f2a-e8fb-4fe0-9214-dd536cc96b76,Nepal - Number of crimes (2068-71 B.S)
