APPROVED,
IGAD Climate Prediction and Applications Center (ICPAC),
e9b1b378-03d2-4944-b34d-03391204683a,2013 Tropical Cyclone 03A Path
0ceb3584-1a8a-4904-b515-b1f4363ae68d,2010 Tropical Cyclone Bandu Path
6b025569-a91a-4378-b91a-16382235ccbc,2020 Tropical Cyclone Gati Path
961ce19b-4639-4580-a658-bce86152377b,2019 Tropical Cyclone Pawan Path
f40c6491-187c-4016-9f1a-719ef37cd416,2018 Tropical Cyclone Sagar Path
3dabfc18-6d50-43d0-93f5-4e03740a376a,2015 Tropical Cyclone Megh Path
1214b25f-6d10-4112-b000-39dedc515d6d,2015 Tropical Cyclone Chapala Path
b622fac8-4721-4638-a32a-fc894446a00f,2012 Tropical Cyclone Murjan Path
