Action,Notes,title,key,Org,count,Matches,Unmatched,Names
,,,,OCHA Nigeria,,none,dc61c3cc-cc78-4421-8d70-92efebe45cd4,Nigeria Railways (data from OSM)
,,,,OCHA Nigeria,,none,bfc37dc6-42da-4334-9d4b-bd37d3916306,Nigeria waterways
,,,,OCHA Nigeria,,none,516d8ed4-4f48-48bf-935c-e91cf6f00e3a,Nigeria Primary and Secondary Roads (data from OSM)
,,,,British Red Cross Maps Team,,none,d7f6e172-4433-4eb9-a96f-0524917eb11d,Philippines - Elevation Model
,,,,OCHA Ethiopia,,none,4f2e1092-222a-47ea-aed9-33f27579e090,Ethiopia - Roads Network
,,,,OCHA Iraq,,none,0c92944d-a6dd-4d08-a101-74ba1c2e3429,"Iraq - Settlements (villages, towns, cities)"
,,,,OCHA Philippines,,none,b4f3d978-000b-4a46-94ca-253ab0ce6cf4,Philippines - Water Courses(Rivers)
,,,,OCHA West and Central Africa (ROWCA),,none,71ea2ad4-e45b-49b6-810e-234af9cfb07e,Mauritania - Railways
,,,,OCHA Nepal (closed),,none,13e78b4c-3c11-47f8-aaff-6262adb20448|85c83e1c-80d1-4136-b9cc-a90b853e7d6c,Nepal District Headquarters,Settlements in Nepal
,,,,OCHA Nepal (closed),,none,248e54c6-f113-4bd3-8083-a5d4a9eb5f79,Nepal Watercourses - Rivers
,,,,OCHA Nepal (closed),,none,81bc529b-b229-465a-bd6f-bb215a9f63d0,Nepal Aerodromes
,,,,OCHA Nepal (closed),,none,675d4343-b21a-4033-89b1-9ba386429c03,Nepal road network
,,,,OCHA Nigeria,,none,f01585b0-fc5c-47a1-b94c-e4403dd430bd,Nigeria - Elevation Model
,,,,OCHA Nigeria,,none,8e5fe191-8328-45b6-99b8-99652c53159c,Nigeria - Water Courses
,,,,OCHA Nigeria,,none,608e022a-7bdb-4668-b6a0-0e7f668dfb40,Nigeria - Settlements
,,,,OCHA Somalia,,none,a9842100-0f5a-498b-956e-b0990e9e86a5,Somalia - Settlements
