Action,Notes,title,key,Org,count,Matches,Unmatched,Names,,
Approved,,UNHCR - Afghanistan - Voluntary Repatriation|UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,data series|data series,UNHCR - The UN Refugee Agency,12|22,112,68e6b0d6-1377-4f35-98c1-bed1b1e13ebf,Malawi - Dzaleka refugee camp - Post Distribution Monitoring for Cash-Based Intervention - 2020,,
Approved,,WFP - Food Insecurity,data series|data series|data series|data series,WFP - World Food Programme|WFP - World Food Programme|WFP - World Food Programme,150,150,b8dfccd4-121e-4dcc-9857-d42617b3226f|5bf8c915-1200-4217-8f46-25445e83f86f|fcf53a06-5668-4815-8533-c85e2247b28d,ICA Malawi - Estimated Numbers of Food Insecure People,ICA Armenia - Estimated Numbers of Food Insecure People,ICA Afghanistan - Estimated Numbers of Food Insecure People
